,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
272,Boca do Acre,87,BR,1570218101,62,-8.76,-67.39,84.83,8.34
273,Burnie,83,AU,1570218102,61,-41.05,145.91,46.0,1.99
274,Caxito,0,BR,1570218102,78,-22.65,-42.51,77.0,25.28
275,Barcelona,20,ES,1570217842,73,41.38,2.18,73.0,6.93
276,Polunochnoye,100,RU,1570218103,96,60.87,60.43,45.27,4.38
277,Baoning,0,CN,1570218103,88,25.34,110.03,71.6,4.47
278,Kieta,100,PG,1570218103,76,-6.22,155.63,81.54,5.61
279,San Cristobal,73,HN,1570218103,72,14.68,-86.92,79.97,3.87
280,Perisoru,100,RO,1570218104,94,44.45,27.55,52.0,4.0
281,Muros,20,ES,1570218104,87,42.77,-9.06,62.01,1.12
282,Vigrestad,0,NO,1570218105,52,58.57,5.7,46.0,8.05
283,Alamosa,1,US,1570218105,32,37.47,-105.87,66.2,25.28
284,Azul,100,AR,1570217934,90,-36.78,-59.86,53.01,1.01
285,Iqaluit,75,CA,1570218105,69,63.75,-68.52,37.4,20.8
286,Asmar,0,AF,1570218105,69,35.03,71.36,47.88,2.59
287,Borogontsy,46,RU,1570218106,85,62.67,131.17,19.78,6.46
288,Tornio,90,FI,1570218106,90,61.12,27.27,36.0,6.93
289,Luanda,75,AO,1570218106,73,-8.83,13.24,77.0,6.93
290,Shinshiro,20,JP,1570218107,78,34.95,137.53,72.0,25.28
291,Lamar,90,US,1570218107,55,38.09,-102.62,66.2,9.17
292,Gitarama,40,RW,1570218107,53,-2.07,29.76,71.6,5.82
293,Caravelas,33,BR,1570218108,80,-17.73,-39.27,75.11,11.88
294,Kibala,20,TD,1570218108,78,9.11,18.35,78.8,2.51
295,Torrington,1,US,1570218108,52,42.06,-104.18,69.8,18.34
296,Luena,2,AO,1570218109,70,-11.78,19.91,63.09,2.48
297,Strathpeffer,0,GB,1570218110,93,57.59,-4.54,48.0,3.36
298,Egvekinot,97,RU,1570218110,93,66.32,-179.17,22.8,5.44
299,Coquimbo,0,CL,1570218110,72,-29.95,-71.34,55.29,29.53
300,Milkovo,40,BG,1570218111,93,41.53,24.68,62.6,5.12
301,Tarko-Sale,98,RU,1570218111,91,64.92,77.78,36.0,5.01
302,Ust-Tsilma,100,RU,1570218111,98,65.44,52.15,32.36,9.91
303,Okitipupa,100,NG,1570218113,93,6.5,4.78,75.87,4.12
304,Hualmay,65,PE,1570218113,91,-11.1,-77.61,61.61,19.71
305,Diamantino,34,BR,1570218113,40,-14.4,-56.44,91.55,1.41
306,Medvedka,100,RU,1570218113,88,61.17,46.39,42.55,11.34
307,Naze,75,NG,1570218114,83,5.43,7.07,78.8,6.93
308,Pilani,0,IN,1570218114,51,28.36,75.6,79.92,3.06
309,Hobyo,0,SO,1570218115,87,5.35,48.53,78.05,13.22
310,Samarai,100,PG,1570218115,95,-10.62,150.67,73.31,8.88
311,Vallenar,0,CL,1570218115,34,-28.58,-70.76,64.6,8.61
312,Davila,65,PH,1570218116,80,18.47,120.58,80.21,16.62
313,Hambantota,0,LK,1570218116,100,6.12,81.12,75.2,2.24
314,Youhao,0,CN,1570218116,63,47.86,128.84,28.37,1.99
315,West Bay,90,CA,1570218117,93,49.34,-123.21,53.6,8.05
316,Evensk,79,RU,1570217735,55,61.92,159.24,23.33,8.59
317,Ukiah,1,US,1570218117,29,39.15,-123.21,73.0,5.82
318,Alyangula,47,AU,1570218117,88,-13.85,136.42,66.2,8.88
319,Cody,1,US,1570217838,37,44.53,-109.06,61.0,18.34
320,Preston,20,GB,1570218118,93,53.76,-2.71,55.4,8.05
321,Kavaratti,83,IN,1570218118,75,10.57,72.64,81.72,7.92
322,Halifax,75,CA,1570218062,87,44.65,-63.58,50.0,14.99
323,Chulman,100,RU,1570218119,87,56.84,124.9,31.41,8.7
324,Almaznyy,0,RU,1570218119,72,48.03,40.04,68.0,2.24
325,Port Hardy,75,CA,1570218119,87,50.7,-127.42,51.8,6.93
326,Powell,90,US,1570218119,51,40.16,-83.08,69.01,9.17
327,Abu Dhabi,0,AE,1570218120,70,24.47,54.37,89.6,5.82
328,Bandarbeyla,13,SO,1570218120,78,9.49,50.81,77.06,7.47
329,Paris,90,FR,1570217986,93,48.86,2.35,57.99,10.29
330,Tongren,89,CN,1570218121,69,27.72,109.18,70.0,1.48
331,Langham,90,CA,1570218121,87,52.36,-106.96,42.8,16.11
332,Charters Towers,3,AU,1570218121,77,-20.07,146.27,59.29,5.99
333,Goundam,1,ML,1570218122,14,16.42,-3.66,97.2,5.01
334,Nador,0,MA,1570218122,64,35.17,-2.93,73.4,6.04
335,Rawlins,1,US,1570217847,16,41.79,-107.24,69.8,32.21
336,Villapinzon,52,CO,1570218123,60,5.22,-73.59,61.61,6.04
337,Bakersfield,1,US,1570218123,32,35.37,-119.02,71.01,7.45
338,Flinders,90,AU,1570218123,100,-34.58,150.85,60.01,10.29
339,Nanortalik,100,GL,1570218123,56,60.14,-45.24,46.8,12.8
340,Colombo,0,BR,1570218124,61,-25.29,-49.22,78.01,13.87
341,General Delgado,75,PY,1570218124,78,-27.09,-56.53,78.8,8.05
342,Gushikawa,1,JP,1570218125,94,26.35,127.87,77.0,5.82
343,Kilis,0,TR,1570218200,42,36.72,37.12,66.2,2.24
344,Port Shepstone,6,ZA,1570218201,93,-30.74,30.45,60.15,2.59
345,Veraval,90,FR,1570218201,93,49.65,0.71,57.2,6.93
346,Mgandu,2,TZ,1570218201,68,-5.96,34.11,64.89,7.96
347,Sibiti,89,CG,1570218202,98,-3.69,13.35,69.3,1.9
348,Natchez,1,US,1570218202,62,31.56,-91.4,93.0,8.05
349,Jalu,0,LY,1570217733,69,29.03,21.55,74.55,13.15
350,Cururupu,90,BR,1570218203,74,-1.82,-44.87,79.34,4.25
351,Waitati,35,NZ,1570218203,68,-45.75,170.57,45.0,21.99
352,Turka,0,RU,1570218203,64,52.95,108.22,46.24,12.64
353,Bochov,75,CZ,1570218204,100,50.15,13.05,48.0,4.7
354,Smithers,90,CA,1570218191,87,54.78,-127.17,46.4,2.24
355,Najran,0,SA,1570218205,23,17.54,44.22,82.4,4.7
356,Tchaourou,100,BJ,1570218206,88,8.89,2.6,72.07,4.83
357,High Level,90,CA,1570218206,70,58.52,-117.13,46.4,2.57
358,The Valley,40,AI,1570218208,66,18.22,-63.06,89.6,11.41
359,Kloulklubed,90,PW,1570218208,94,7.04,134.26,75.2,5.82
360,Chiang Rai,0,TH,1570218208,100,19.9,99.84,71.6,2.24
361,Farah,0,AF,1570218208,26,32.37,62.11,62.73,6.24
362,Tsabong,0,BW,1570218209,12,-26.02,22.4,67.98,11.1
363,Golden,1,US,1570218210,39,39.76,-105.22,73.99,8.05
364,Russell,90,US,1570218211,93,38.9,-98.86,55.4,12.75
365,Padang,67,ID,1570218211,86,-0.92,100.36,78.23,12.08
366,Charyshskoye,24,RU,1570218211,60,51.4,83.56,36.02,4.34
367,Rapar,0,IN,1570218212,78,23.57,70.65,78.98,8.19
368,Hovd,0,NO,1570218212,79,63.83,10.7,37.0,8.05
369,Zeya,0,RU,1570218212,70,53.74,127.27,26.53,0.65
370,Santiago del Estero,25,AR,1570218213,48,-27.8,-64.26,70.49,12.17
371,Mbekenyera,0,TZ,1570218213,79,-10.0,38.98,73.49,3.15
372,Fukuma,0,JP,1570218214,88,33.77,130.47,68.0,1.12
373,Portland,40,US,1570218214,47,43.66,-70.25,57.2,19.46
374,Vanimo,16,PG,1570218214,76,-2.67,141.3,79.45,8.3
375,Alekseyevsk,0,RU,1570218215,92,57.84,108.35,31.68,6.76
376,Guerrero Negro,0,MX,1570218215,77,27.97,-114.04,68.42,12.28
377,Copiapo,0,CL,1570218215,55,-27.37,-70.33,60.8,14.99
378,Te Anau,60,NZ,1570218216,65,-45.41,167.72,38.32,1.54
379,Itoman,20,JP,1570218216,83,26.12,127.67,75.2,5.82
380,Srednekolymsk,100,RU,1570218216,73,67.46,153.71,21.8,13.67
381,Dhidhdhoo,100,MV,1570218217,71,6.88,73.1,82.71,5.53
382,Pedernales,29,EC,1570218217,88,0.07,-80.05,73.49,19.84
383,Paraiso,20,BR,1570218217,49,-0.03,-51.17,93.2,14.99
384,Flin Flon,75,CA,1570218218,75,54.77,-101.88,44.6,11.41
385,Vostok,100,RU,1570218218,95,46.45,135.83,35.49,2.59
386,Alice Springs,0,AU,1570218218,29,-23.7,133.88,62.6,5.82
387,Santa Luzia,0,BR,1570218219,28,-19.77,-43.85,82.4,10.29
388,Belmonte,0,PT,1570218219,80,40.36,-7.35,64.99,5.01
389,Coihaique,40,CL,1570218219,43,-45.58,-72.07,53.6,6.93
390,Houston,20,US,1570218000,41,29.76,-95.37,93.99,9.66
391,Rawson,0,AR,1570218220,19,-43.3,-65.11,62.93,19.53
392,Dunedin,35,NZ,1570218220,68,-45.87,170.5,45.0,21.99
393,Mount Gambier,100,AU,1570218220,93,-37.83,140.78,46.4,10.29
394,Nenjiang,0,CN,1570218221,61,49.17,125.23,32.25,4.99
395,Rochester,90,US,1570217650,66,44.02,-92.46,53.01,10.29
396,Kalmunai,93,LK,1570218221,89,7.42,81.82,75.04,2.17
397,Aljezur,0,PT,1570218221,88,37.31,-8.8,62.01,1.01
398,Raudeberg,0,NO,1570218222,49,61.99,5.14,42.8,4.7
399,Xuanzhou,20,CN,1570218222,81,30.95,118.78,70.04,11.61
400,Kununurra,31,AU,1570218222,73,-15.77,128.74,71.6,5.82
401,Filotion,0,GR,1570218222,73,37.05,25.5,75.2,12.75
402,Kokoda,100,PG,1570218223,92,-8.88,147.74,62.15,0.81
403,Jinchang,58,CN,1570218223,76,38.52,102.19,44.51,1.77
404,Chapais,90,CA,1570218223,91,49.78,-74.86,37.4,9.17
405,Jiguani,75,CU,1570218224,78,20.37,-76.43,80.6,16.11
406,Paramonga,96,PE,1570218224,93,-10.68,-77.82,60.51,17.56
407,Yeppoon,0,AU,1570218224,93,-23.13,150.74,55.4,1.19
408,Sisimiut,1,GL,1570218225,74,66.94,-53.67,41.02,13.33
409,Kapuskasing,20,CA,1570218225,61,49.42,-82.43,50.0,6.93
410,Uyuni,75,BO,1570218226,12,-20.46,-66.82,59.42,27.34
411,Hay River,90,CA,1570218226,93,60.82,-115.79,46.4,5.82
412,Labytnangi,40,RU,1570218226,94,66.66,66.39,27.97,8.16
413,Nova Ushytsya,6,UA,1570218226,71,48.84,27.27,42.48,1.95
414,Talcahuano,0,CL,1570218227,58,-36.72,-73.12,57.2,14.99
415,Shelburne,90,CA,1570218036,70,44.08,-80.2,53.01,6.93
416,Thunder Bay,40,CA,1570218085,66,48.41,-89.26,50.0,9.17
417,Urusha,33,RU,1570218227,79,54.05,122.9,27.45,2.84
418,Parintins,100,BR,1570218228,45,-2.63,-56.73,91.06,0.83
419,Sioux Lookout,90,CA,1570218089,75,50.1,-91.92,44.6,6.93
420,Sanmenxia,100,CN,1570218228,88,34.77,111.19,57.81,5.46
421,Sioni,0,GE,1570218228,72,41.99,45.02,66.2,2.08
422,Maceio,40,BR,1570218229,65,-9.67,-35.74,78.8,13.87
423,Tiznit,100,MA,1570218229,82,29.7,-9.73,68.96,5.44
424,Killarney,0,AU,1570218229,71,-28.34,152.3,55.99,1.01
425,Katobu,37,ID,1570218230,88,-4.94,122.53,71.1,2.46
426,Ilulissat,5,GL,1570218230,36,69.22,-51.1,48.2,8.05
427,Nacala,24,MZ,1570218230,93,-14.56,40.69,72.36,5.01
428,Vao,100,EE,1570218231,85,59.1,26.19,37.13,7.63
429,Adra,0,ES,1570218231,94,36.75,-3.02,69.8,3.76
430,Lavrentiya,70,RU,1570218231,79,65.58,-170.99,26.28,19.04
431,Linhai,50,CN,1570218231,95,28.86,121.14,77.0,0.63
432,Inongo,27,CD,1570218232,94,-1.93,18.29,71.13,2.01
433,Vila Franca do Campo,40,PT,1570218232,88,37.72,-25.43,75.99,10.29
434,Lata,0,IN,1570218233,72,30.78,78.62,31.35,5.64
435,Bom Jesus,62,BR,1570218233,35,-9.08,-44.36,85.21,2.95
436,Plouzane,75,FR,1570218234,87,48.38,-4.62,59.0,10.29
437,Constitucion,75,MX,1570217734,46,23.99,-104.67,73.0,3.36
438,Karangasem,0,ID,1570218235,62,-6.7,108.49,71.6,5.21
439,Belogorsk,0,RU,1570218235,67,50.92,128.47,30.74,3.89
440,Half Moon Bay,1,US,1570218235,51,37.46,-122.43,72.0,14.99
441,Nampula,0,MZ,1570218235,82,-15.12,39.26,70.61,3.78
442,Corinto,75,CO,1570218236,54,3.17,-76.26,82.4,2.24
443,Mandali,0,IQ,1570218236,27,33.75,45.55,75.65,6.11
444,Smolenka,3,PL,1570218236,95,54.15,22.76,39.0,3.36
445,San Rafael,43,AR,1570218236,18,-34.61,-68.33,61.04,9.91
446,Grand-Santi,32,GF,1570218237,44,4.27,-54.38,88.0,1.57
447,Zatoka,75,PL,1570218237,87,50.04,20.52,46.99,4.7
448,Road Town,20,VG,1570218237,70,18.42,-64.62,87.8,6.93
449,Nantucket,20,US,1570218237,58,41.28,-70.1,59.0,24.16
450,Polyarnyy,75,RU,1570218238,71,69.2,33.45,32.0,2.24
451,Safford,1,US,1570218238,42,32.83,-109.71,84.2,5.82
452,Orion,20,PH,1570218238,88,14.62,120.58,78.8,2.24
453,Quincy,1,US,1570218213,54,47.23,-119.85,60.01,7.47
454,Nouadhibou,0,MR,1570218239,83,20.93,-17.03,69.8,18.34
455,Ust-Kuyga,100,RU,1570218239,84,70.0,135.55,19.83,5.17
456,Mehamn,75,NO,1570218240,93,71.03,27.85,37.4,5.82
457,Massakory,55,TD,1570218240,59,13.0,15.73,84.62,12.71
458,Anadyr,20,RU,1570218240,79,64.73,177.51,26.6,31.32
459,Ust-Maya,100,RU,1570218241,65,60.42,134.54,24.08,6.29
460,Dakar,40,SN,1570218241,83,14.69,-17.45,84.2,6.93
461,Kjollefjord,75,NO,1570218241,93,70.95,27.35,37.4,5.82
462,Marawi,42,PH,1570218242,84,8.0,124.29,75.0,5.99
463,Nelson Bay,90,AU,1570218242,77,-32.72,152.14,64.4,9.17
464,Qaqortoq,75,GL,1570218242,32,60.72,-46.03,53.6,5.82
465,San Vicente,75,EC,1570218243,78,-0.59,-80.41,78.8,11.41
466,Port Macquarie,90,AU,1570218243,82,-31.43,152.91,64.4,14.99
467,Sirohi,0,IN,1570218243,80,24.89,72.86,77.24,5.14
468,Kushima,0,JP,1570218244,93,31.5,131.29,68.0,3.0
469,Marrakesh,0,MA,1570218245,20,31.63,-7.99,86.0,3.36
470,Arkhangelsk,90,RU,1570218245,97,64.54,40.54,32.0,11.18
471,Mahudha,20,IN,1570218245,83,22.82,72.94,80.6,4.52
472,Faya,0,SA,1570218246,34,18.39,42.45,73.4,4.7
473,Limon,1,US,1570218167,45,39.26,-103.69,80.01,20.8
474,Awjilah,24,LY,1570218246,72,29.14,21.3,73.31,14.83
475,Arlit,0,NE,1570218246,7,18.74,7.39,95.31,7.99
476,Lerwick,0,GB,1570218247,81,60.15,-1.15,48.2,14.99
477,Valparaiso,90,US,1570218247,67,41.47,-87.06,62.01,9.17
478,Draguignan,0,FR,1570218247,87,43.54,6.46,70.0,3.36
479,Rome,0,IT,1570218247,71,41.89,12.48,64.4,4.7
480,Cabadiangan,40,PH,1570218248,94,10.45,123.98,77.0,2.24
481,Faanui,94,PF,1570217624,84,-16.48,-151.75,78.68,11.52
482,General Pico,24,AR,1570218248,28,-35.66,-63.75,65.18,9.57
483,Saint-Georges,1,CA,1570218248,63,46.12,-70.67,44.01,3.0
484,Susehri,0,TR,1570218249,42,40.16,38.09,50.99,3.58
485,Bukachacha,49,RU,1570218249,78,52.99,116.91,28.67,2.15
486,Grand Gaube,40,MU,1570218250,100,-20.01,57.66,73.4,12.75
487,Prince Rupert,90,CA,1570218187,87,54.32,-130.32,51.8,5.82
488,Astana,87,KZ,1570218069,60,51.13,71.43,41.0,1.99
489,Klerksdorp,0,ZA,1570218250,53,-26.86,26.67,51.44,1.32
490,Panalingaan,100,PH,1570218251,70,8.78,117.42,83.16,8.9
491,Yar-Sale,1,RU,1570218251,76,66.83,70.83,32.67,12.26
492,Kabo,55,CF,1570218251,95,7.69,18.62,69.8,1.7
493,Pochutla,75,MX,1570218252,66,15.74,-96.47,87.8,13.87
494,Campo Gobierno,40,MX,1570218252,59,24.65,-107.54,93.99,9.24
495,Qiqihar,1,CN,1570218253,39,47.35,123.91,37.15,5.66
496,Palafrugell,40,ES,1570218253,77,41.92,3.16,70.0,2.24
497,Tasgaon,0,IN,1570218254,86,17.04,74.6,72.11,5.14
498,Tortosa,0,ES,1570218254,82,40.81,0.52,66.2,1.14
499,Pervomaysk,100,RU,1570218255,93,54.87,43.81,53.98,8.37
500,Baruun-Urt,0,MN,1570218255,53,46.68,113.28,32.92,5.08
501,Gorom-Gorom,24,BF,1570218256,24,14.45,-0.24,92.59,4.97
502,Kosmynino,90,RU,1570218256,81,57.55,40.74,42.8,8.95
503,Chokurdakh,100,RU,1570218256,95,70.62,147.9,27.74,18.16
504,Nhamunda,100,BR,1570218257,46,-2.19,-56.71,88.85,2.08
505,Noyabrsk,93,RU,1570218258,84,63.2,75.45,33.15,14.94
506,Birjand,0,IR,1570218258,23,32.86,59.22,60.8,4.7
507,Zyryanovsk,0,KZ,1570218258,39,49.74,84.27,37.85,4.94
508,Nuuk,75,GL,1570218124,39,64.17,-51.74,46.4,9.17
509,Touros,0,BR,1570218259,58,-5.2,-35.46,82.4,18.34
510,Berlevag,75,NO,1570218259,86,70.86,29.09,35.6,3.36
511,Ambon,90,FR,1570218259,87,47.55,-2.56,62.01,9.17
512,Schneverdingen,100,DE,1570218260,93,53.12,9.79,48.2,13.87
513,Vryburg,0,ZA,1570218260,11,-26.96,24.73,64.6,9.93
514,La Vista,1,US,1570218261,71,41.18,-96.03,57.0,12.75
515,Parfenyevo,100,RU,1570218261,86,58.48,43.41,41.79,6.8
516,Antofagasta,75,CL,1570218163,67,-23.65,-70.4,59.0,14.99
517,Oistins,75,BB,1570218262,70,13.07,-59.53,84.2,4.7
518,Ban Dung,71,TH,1570218262,80,17.7,103.25,74.86,3.58
519,Istok,100,PL,1570218262,89,52.66,23.48,46.0,2.86
520,Broome,75,GB,1570218263,93,52.47,1.45,55.99,6.93
521,Labuhan,1,ID,1570218263,80,-2.54,115.51,70.14,1.74
522,Edd,0,ER,1570218263,53,13.93,41.69,90.23,4.63
523,Ryotsu,75,JP,1570218264,88,38.08,138.43,66.2,1.12
524,Ahipara,0,NZ,1570218264,79,-35.17,173.16,56.97,16.91
525,Kungurtug,0,RU,1570218264,64,50.6,97.53,24.55,2.01
526,Lompoc,1,US,1570218265,46,34.64,-120.46,75.99,13.87
527,New Glasgow,100,CA,1570218265,85,45.59,-62.65,46.99,7.0
528,West Wendover,1,US,1570218265,28,40.74,-114.07,57.2,27.51
529,Wiarton,9,CA,1570218266,67,44.74,-81.13,51.01,4.0
530,Sao Felix do Xingu,89,BR,1570218266,80,-6.64,-51.99,75.85,3.83
531,Joao Pinheiro,39,BR,1570218266,31,-17.74,-46.17,83.9,6.89
532,Omsukchan,81,RU,1570218267,83,62.53,155.8,5.09,1.74
533,Cockburn Town,100,TC,1570218267,71,21.46,-71.14,83.9,12.48
534,Cotonou,20,BJ,1570218267,94,6.37,2.43,75.2,3.36
535,Altay,0,CN,1570218267,38,47.83,88.13,34.95,5.08
536,Campbell River,75,CA,1570218023,87,50.02,-125.24,53.6,4.7
537,Valday,0,RU,1570218268,94,57.98,33.25,33.75,3.91
538,Mezhdurechensk,100,RU,1570218268,78,53.69,88.07,38.21,2.86
539,Benghazi,7,LY,1570218268,67,32.12,20.07,75.78,13.33
540,Guadalupe Victoria,75,MX,1570218269,62,21.68,-105.33,84.2,7.85
541,Isangel,20,VU,1570218269,88,-19.55,169.27,68.0,12.08
542,Bamako,20,ML,1570218097,55,12.65,-8.0,86.0,10.29
543,La Paz,5,MX,1570218147,31,24.15,-110.32,89.6,8.05
544,Novorzhev,99,RU,1570218270,92,57.03,29.33,40.19,2.3
545,Letlhakane,32,BW,1570218270,22,-21.42,25.59,71.08,4.76
546,Maniitsoq,55,GL,1570218270,62,65.42,-52.9,42.21,13.89
